"ano"	"volume"	"tomo"	"url"
"1957"	"001"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=001_1"
"1957"	"002"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=002_1"
"1957"	"003"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=003_1"
"1958"	"004"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=004_1"
"1958"	"005"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=005_1"
"1958"	"006"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=006_1"
"1958"	"007"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=007_1"
"1959"	"008"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=008_1"
"1959"	"009"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=009_1"
"1959"	"010"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=010_1"
"1959"	"011"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=011_1"
"1960"	"012"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=012_1"
"1960"	"013"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=013_1"
"1960"	"014"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=014_1"
"1960"	"015"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=015_1"
"1961"	"016"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=016_1"
"1961"	"017"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=017_1"
"1961"	"018"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=018_1"
"1961"	"019"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=019_1"
"1962"	"020"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=020_1"
"1962"	"021"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=021_1"
"1962"	"022"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=022_1"
"1963"	"023"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=023_1"
"1963"	"024"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=024_1"
"1963"	"025"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=025_1"
"1963"	"026"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=026_1"
"1964"	"027"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=027_1"
"1964"	"028"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=028_1"
"1964"	"029"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=029_1"
"1964"	"030"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=030_1"
"1965"	"031"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=031_1"
"1965"	"032"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=032_1"
"1965"	"032"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=032_2"
"1965"	"032"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=032_3"
"1965"	"033"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=033_1"
"1965"	"033"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=033_2"
"1965"	"033"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=033_3"
"1965"	"034"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=034_1"
"1965"	"034"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=034_2"
"1965"	"034"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=034_3"
"1966"	"035"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=035_1"
"1966"	"035"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=035_2"
"1966"	"035"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=035_3"
"1966"	"036"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=036_1"
"1966"	"036"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=036_2"
"1966"	"036"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=036_3"
"1966"	"037"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=037_1"
"1966"	"037"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=037_2"
"1966"	"037"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=037_3"
"1966"	"038"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=038_1"
"1966"	"038"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=038_2"
"1966"	"038"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=038_3"
"1967"	"039"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=039_1"
"1967"	"039"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=039_2"
"1967"	"039"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=039_3"
"1967"	"040"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=040_1"
"1967"	"040"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=040_2"
"1967"	"040"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=040_3"
"1967"	"041"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=041_1"
"1967"	"041"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=041_2"
"1967"	"041"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=041_3"
"1967"	"042"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=042_1"
"1967"	"042"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=042_2"
"1967"	"042"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=042_3"
"1968"	"043"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=043_1"
"1968"	"043"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=043_2"
"1968"	"043"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=043_3"
"1968"	"044"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=044_1"
"1968"	"044"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=044_2"
"1968"	"044"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=044_3"
"1968"	"045"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=045_1"
"1968"	"045"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=045_2"
"1968"	"045"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=045_3"
"1968"	"046"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=046_1"
"1968"	"046"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=046_2"
"1968"	"046"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=046_3"
"1969"	"047"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=047_1"
